Code,FullName,Team,Name
AD,Adelaide,AD,adelaide
BB,Brisbane Bears,BB,brisbaneb
BL,Brisbane Lions,BL,brisbanel
CA,Carlton,CA,carlton
CW,Collingwood,CW,collingwood
ES,Essendon,ES,essendon
FI,Fitzroy,FI,fitzroy
FR,Fremantle,FR,fremantle
GE,Geelong,GE,geelong
GC,Gold Coast,GC,goldcoast
GW,GW Sydney,GW,gws
HW,Hawthorn,HW,hawthorn
ME,Melbourne,ME,melbourne
NM,North Melbourne,NM,kangaroos
PA,Port Adelaide,PA,padelaide
RI,Richmond,RI,richmond
SK,St Kilda,SK,stkilda
SY,Sydney,SY,swans
WC,West Coast,WC,westcoast
WB,Western Bulldogs,WB,bullldogs
UN,University,UN,university
FO,Footscray,WB,bullldogs
KA,Kangaroos,NM,kangaroos
SM,South Melbourne,SY,swans
